stock_id,name,chip_trend_days,chip_concentration_threshold,chip_latest_date,chip_available_days,chip_concentration_pct,chip_concentration_pct_t0,chip_concentration_pct_t1,chip_concentration_pct_t2,chip_date_t0,chip_date_t1,chip_date_t2,chip_concentration_score,main_force_net,main_force_net_t0,main_force_net_t1,main_force_net_t2,main_force_score,broker_diff,broker_diff_t0,broker_diff_t1,broker_diff_t2,broker_diff_score,chip_signal_state,chip_signal_text,chips_updated_at,chips_status,chips_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
1101,台泥,3,15.0,2026-06-08,3,1.44,1.44,3.06,1.1,2026-06-08,2026-06-05,2026-06-04,0.0,1494657,1494657,1916345,817503,1.0,152,152,47,180,1.0,bullish_distributed,主力連3買但買賣家數差偏正，可能偏分散,2026-06-08 11:18:59,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,0,6000,6000,2026-06-08 11:19:11
1216,統一,3,15.0,2026-06-08,3,0.04,0.04,1.41,5.15,2026-06-08,2026-06-05,2026-06-04,0.0,-10771,-10771,266954,1526553,0.5,7,7,-98,-162,-0.5,neutral,籌碼震盪，方向未定,2026-06-08 11:18:59,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,0,6000,6000,2026-06-08 11:19:11
1319,東陽,3,15.0,2026-06-08,3,6.01,6.01,13.16,9.62,2026-06-08,2026-06-05,2026-06-04,0.0,1045487,1045487,2357983,1637967,1.0,-27,-27,-57,-54,-1.0,neutral,籌碼震盪，方向未定,2026-06-08 11:18:59,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,0,6000,6000,2026-06-08 11:19:10
1532,勤美,3,15.0,2026-06-08,3,0.3,0.3,6.77,3.15,2026-06-08,2026-06-05,2026-06-04,0.0,-6907,-6907,129000,60286,0.5,2,2,-58,-30,-0.5,neutral,籌碼震盪，方向未定,2026-06-08 11:18:59,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,0,6000,6000,2026-06-08 11:19:08
2317,鴻海,3,15.0,2026-06-08,3,1.04,1.04,1.3,4.44,2026-06-08,2026-06-05,2026-06-04,0.0,-2443209,-2443209,-2404390,-9842201,-1.0,2,2,2,3,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-08 11:18:59,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,0,6000,6000,2026-06-08 11:19:15
2330,台積電,3,15.0,2026-06-08,3,2.61,2.61,7.79,8.91,2026-06-08,2026-06-05,2026-06-04,0.0,-2723684,-2723684,-6062493,-5070625,-1.0,7,7,15,11,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-08 11:18:59,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,0,6000,6000,2026-06-08 11:19:14
2881,富邦金,3,15.0,2026-06-08,3,3.8,3.8,2.19,2.01,2026-06-08,2026-06-05,2026-06-04,0.0,7957506,7957506,2708869,-2221207,0.5,-33,-33,-130,-87,-1.0,neutral,籌碼震盪，方向未定,2026-06-08 11:19:08,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,0,6000,6000,2026-06-08 11:19:22
2885,元大金,3,15.0,2026-06-08,3,1.46,1.46,4.36,5.68,2026-06-08,2026-06-05,2026-06-04,0.0,-1356652,-1356652,-3504496,-3776523,-1.0,165,165,-44,-41,-0.5,bearish,主力連3賣，籌碼偏弱,2026-06-08 11:19:11,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,0,6000,6000,2026-06-08 11:19:23
2891,中信金,3,15.0,2026-06-08,3,1.9,1.9,4.69,0.75,2026-06-08,2026-06-05,2026-06-04,0.0,-1753535,-1753535,-5987941,-1459888,-1.0,53,53,87,77,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-08 11:19:11,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,0,6000,6000,2026-06-08 11:19:24
3017,奇鋐,3,15.0,2026-06-08,3,1.17,1.17,1.69,4.6,2026-06-08,2026-06-05,2026-06-04,0.0,-101802,-101802,-165738,-408097,-1.0,104,104,108,115,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-08 11:19:11,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,0,6000,6000,2026-06-08 11:19:26
